person_id,gender,year_of_birth,person_of_color,education_level,city_of_residence,scholarship_recipient,previous_job_experience,pre_training_wage,training_start_date,training_status,training_end_date,training_type,exit_status,classroom_or_online,job_placement_date,hiring_job_title,hiring_company,starting_wage,second_job_placement_date,second_job_title,second_job_company,second_starting_wage
M-248,Unreported,1959,no,Some College,Plymouth,yes,Team Member,14.25,30/12/2016,Graduated,10/04/2017,IT Fundamentals,Enrolled in Additional Training,Classroom,18/02/2018,Temp Designer,Bite Squad,26.57,,,,
T-249,Male,1978,yes,Graduate and Beyond,Minneapolis,no,Team Member,12.82,26/12/2016,Withdrew,08/03/2017,QA,Enrolled in Additional Training,Online,18/07/2017,Temp Developer,Great North Labs,28.13,,,,
Y-250,Unreported,1978,no,Associates,Minneapolis,yes,Temp,9.50,10/01/2016,Graduated,15/09/2016,IT Fundamentals,Incarcerated,Online,23/03/2017,Temp Designer,Branch Messenger,29.87,,,,
M-251,Female,1956,yes,HS/GED,Edina,yes,Employee,9.73,08/03/2017,Removed,22/06/2017,IT Fundamentals,Institutionalized,Online,13/01/2018,Project Manager,Foodsby,25.98,26/06/2018,Web Developer,Merrill Corporation,30.16
C-252,Other,1955,no,HS/GED,Robbinsdale,yes,,15.54,13/09/2016,Graduated,18/12/2016,UX,Institutionalized,Online,25/05/2017,Temp Developer,Nerdery,24.04,,,,
T-253,Unreported,1964,no,Some College,Brooklyn Center,yes,Support,10.92,23/02/2015,Removed,06/09/2015,QA,Institutionalized,Classroom,19/05/2016,Temp Developer,Great North Labs,27.36,27/01/2017,Temp Designer,Foodsby,26.81
T-254,Other,1990,yes,Bachelors,Plymouth,yes,Associate,11.74,27/10/2016,Removed,14/05/2017,IT Fundamentals,Institutionalized,Online,02/01/2018,Junior Designer,Apple,26.17,,,,
J-255,Unreported,1956,no,Bachelors,Minneapolis,yes,Contractor,12.09,20/08/2016,Graduated,09/05/2017,QA,Entered Employment,Classroom,01/02/2018,Junior Engineer,Apple,26.33,,,,
S-256,Other,1988,unreported,Some College,Roseville,no,Support,15.67,06/09/2016,Graduated,28/02/2017,IT Fundamentals,Incarcerated,Classroom,21/08/2017,Developer,Aftercode,24.85,,,,
Y-257,Other,2001,yes,Bachelors,Edina,no,Employee,12.16,13/10/2017,Graduated,02/03/2018,IT Fundamentals,Health/Medical,Classroom,14/12/2018,Junior Developer,Nerdery,26.05,,,,
J-258,Unreported,1958,no,Graduate and Beyond,Eden Prairie,no,Manager,12.31,26/10/2016,Removed,14/12/2016,UX,Institutionalized,Online,27/06/2017,Temp Developer,Bite Squad,30.06,,,,
J-259,Other,1966,no,Graduate and Beyond,Eden Prairie,no,Cashier,9.18,14/05/2017,Removed,16/02/2018,IT Fundamentals,Institutionalized,Classroom,17/11/2018,Project Manager,Google,26.72,,,,
J-260,Male,1994,yes,Graduate and Beyond,Eden Prairie,yes,,10.72,05/08/2015,Withdrew,14/04/2016,QA,Entered Employment,Online,16/04/2017,Web Developer,Branch Messenger,30.21,,,,
P-261,Unreported,1964,unreported,Associates,Brooklyn Center,no,Associate,9.74,28/02/2017,Withdrew,19/11/2017,IT Fundamentals,Incarcerated,Classroom,16/02/2018,IT Support,Apple,27.25,,,,
C-262,Female,1972,unreported,Graduate and Beyond,St. Paul,no,Contractor,12.36,02/06/2016,Withdrew,06/12/2016,UX,Incarcerated,Classroom,17/06/2017,Programmer,Microsoft,24.83,,,,
M-263,Unreported,1954,unreported,HS/GED,Robbinsdale,yes,Temp,14.93,01/08/2015,Withdrew,11/02/2016,UX,Enrolled in Additional Training,Classroom,27/06/2016,Web Developer,Nerdery,31.36,,,,
J-264,Unreported,1997,unreported,Associates,Plymouth,no,,14.11,15/01/2016,Withdrew,09/03/2016,UX,Enrolled in Additional Training,Online,10/04/2016,Junior Designer,Loup Ventures,29.42,,,,
M-265,Unreported,1968,yes,Associates,Brooklyn Center,yes,Manager,14.54,17/05/2015,Removed,10/01/2016,IT Fundamentals,Enrolled in Additional Training,Online,19/11/2016,IT Support,Bite Squad,29.63,,,,
J-266,Unreported,1979,unreported,Graduate and Beyond,St. Paul,no,Supervisor,11.71,05/02/2016,Graduated,06/11/2016,QA,Enrolled in Additional Training,Classroom,09/09/2017,Developer,Great North Labs,31.48,,,,
T-267,Unreported,1950,unreported,Associates,Roseville,yes,Employee,15.13,03/02/2017,Removed,26/06/2017,IT Fundamentals,Incarcerated,Classroom,17/10/2017,IT Support,Nerdery,26.65,02/01/2018,Programmer,Bind Benefits,26.07
T-268,Male,1956,yes,HS/GED,Edina,yes,Temp,11.37,26/06/2015,Graduated,18/12/2015,QA,Enrolled in Additional Training,Classroom,07/07/2016,Programmer,Microsoft,30.81,,,,
C-269,Unreported,1967,yes,Graduate and Beyond,St. Paul,no,Cashier,15.10,01/01/2017,Removed,16/06/2017,UX,Institutionalized,Online,17/03/2018,Developer,Merrill Corporation,24.63,,,,
Y-270,Other,1960,unreported,HS/GED,Roseville,no,Representative,10.26,19/11/2016,Graduated,27/05/2017,IT Fundamentals,Enrolled in Additional Training,Online,28/11/2017,Project Manager,Osborn 370,31.87,,,,
M-271,Unreported,1955,no,HS/GED,Edina,yes,Support,10.56,14/01/2015,Graduated,21/10/2015,UX,Entered Military,Classroom,11/01/2016,Web Developer,Apple,27.71,20/09/2016,Junior Engineer,Bite Squad,26.47
S-272,Unreported,1961,yes,Some College,Roseville,no,Employee,15.75,23/03/2017,Removed,26/07/2017,IT Fundamentals,Enrolled in Additional Training,Classroom,,,,,,,,
Y-273,Other,1965,unreported,Associates,St. Paul,no,Cashier,9.80,27/09/2015,Withdrew,12/03/2016,QA,Institutionalized,Classroom,26/06/2016,Temp Designer,Branch Messenger,26.98,,,,
Y-274,Female,1996,no,Graduate and Beyond,Minneapolis,no,Representative,9.32,16/06/2015,Removed,22/03/2016,IT Fundamentals,Entered Employment,Classroom,08/07/2016,Developer,Osborn 370,29.86,,,,
S-275,Male,1987,no,HS/GED,Edina,yes,Supervisor,11.95,09/04/2017,Graduated,20/09/2017,IT Fundamentals,Entered Military,Online,27/04/2018,Temp Developer,Apple,26.29,,,,
P-276,Other,1970,unreported,Bachelors,Edina,no,Team Member,9.85,07/06/2015,Graduated,07/01/2016,QA,Entered Military,Online,13/10/2016,IT Support,Branch Messenger,30.63,,,,
S-277,Unreported,1999,unreported,Bachelors,St. Paul,no,Cashier,15.10,22/12/2015,Removed,17/06/2016,QA,Institutionalized,Classroom,16/12/2016,Temp Designer,Apple,28.23,,,,
S-278,Unreported,1957,yes,Bachelors,Plymouth,yes,Cashier,13.86,15/06/2017,Withdrew,17/01/2018,UX,Institutionalized,Classroom,20/06/2018,Developer,Loup Ventures,26.01,,,,
M-279,Unreported,1964,unreported,Bachelors,Eden Prairie,no,Supervisor,14.25,29/08/2016,Withdrew,20/03/2017,IT Fundamentals,Institutionalized,Classroom,26/08/2017,Temp Designer,Osborn 370,31.62,09/11/2017,Programmer,Osborn 370,24.53
P-280,Other,1974,unreported,Some College,Minneapolis,yes,Supervisor,9.30,08/01/2016,Graduated,23/08/2016,IT Fundamentals,Institutionalized,Classroom,12/02/2017,Developer,Aftercode,25.44,,,,
J-281,Female,1971,no,Some College,Eden Prairie,no,Team Member,9.07,15/01/2015,Withdrew,24/10/2015,UX,Enrolled in Additional Training,Classroom,28/10/2016,Junior Engineer,Bite Squad,31.82,,,,
P-282,Male,1988,yes,Associates,Robbinsdale,yes,Employee,9.34,08/02/2015,Withdrew,13/06/2015,UX,Institutionalized,Online,28/01/2016,Developer,Merrill Corporation,28.04,,,,
J-283,Unreported,1966,yes,HS/GED,Brooklyn Center,no,Contractor,13.78,07/11/2017,Graduated,12/03/2018,UX,Entered Military,Online,10/08/2018,Project Manager,Bright Health,31.78,,,,
C-284,Male,1995,no,HS/GED,Robbinsdale,yes,Cashier,9.53,26/06/2015,Graduated,11/10/2015,QA,Institutionalized,Online,19/06/2016,Temp Designer,Microsoft,27.57,,,,
S-285,Male,1994,no,HS/GED,Robbinsdale,yes,Manager,14.40,27/02/2015,Removed,09/08/2015,QA,Entered Employment,Online,25/05/2016,Temp Designer,Great North Labs,26.80,,,,
P-286,Other,1955,unreported,Some College,Brooklyn Center,yes,Team Member,11.86,28/04/2015,Graduated,09/11/2015,IT Fundamentals,Enrolled in Additional Training,Online,25/11/2016,Temp Designer,Bright Health,31.26,10/01/2017,IT Support,Great North Labs,24.61
C-287,Unreported,1970,unreported,HS/GED,Plymouth,no,Temp,10.29,13/12/2017,Withdrew,15/08/2018,UX,Entered Military,Classroom,,,,,,,,
T-288,Other,1983,unreported,Some College,Brooklyn Center,no,Supervisor,10.70,20/11/2016,Graduated,26/06/2017,QA,Institutionalized,Classroom,04/10/2017,Junior Engineer,Aftercode,31.96,,,,
M-289,Male,1973,unreported,HS/GED,St. Paul,no,Contractor,11.22,21/07/2015,Graduated,01/09/2015,QA,Entered Employment,Online,23/04/2016,Programmer,Merrill Corporation,28.73,,,,
S-290,Female,1992,unreported,HS/GED,St. Paul,yes,Support,10.07,11/09/2016,Graduated,13/03/2017,IT Fundamentals,Health/Medical,Classroom,06/03/2018,Developer,Osborn 370,31.39,,,,
S-291,Other,1993,unreported,Some College,Minneapolis,no,Associate,11.74,15/12/2015,Graduated,26/07/2016,IT Fundamentals,Enrolled in Additional Training,Classroom,10/01/2017,Junior Developer,Foodsby,27.97,25/05/2017,Junior Engineer,Apple,27.37
S-292,Female,1998,no,Graduate and Beyond,St. Paul,no,Employee,13.99,16/07/2016,Graduated,19/10/2016,QA,Entered Military,Classroom,16/04/2017,Temp Developer,Foodsby,31.00,19/05/2017,Web Developer,Foodsby,24.19
J-293,Male,1986,unreported,Graduate and Beyond,Brooklyn Center,yes,Associate,14.57,14/02/2016,Withdrew,24/09/2016,IT Fundamentals,Entered Military,Classroom,16/08/2017,Developer,Branch Messenger,25.33,,,,
J-294,Male,1999,no,Bachelors,Edina,yes,Temp,11.56,26/11/2016,Removed,04/06/2017,IT Fundamentals,Enrolled in Additional Training,Online,22/05/2018,IT Support,Branch Messenger,29.91,,,,
J-295,Unreported,1950,yes,Graduate and Beyond,St. Paul,no,Contractor,14.08,12/11/2017,Withdrew,20/02/2018,UX,Enrolled in Additional Training,Classroom,18/09/2018,Junior Designer,Apple,27.26,,,,
Y-296,Male,1993,unreported,Graduate and Beyond,Minneapolis,no,Manager,9.82,15/02/2015,Graduated,04/11/2015,QA,Health/Medical,Online,27/12/2016,IT Support,Bind Benefits,26.37,,,,
T-297,Male,1998,yes,HS/GED,Minneapolis,no,Representative,13.44,06/11/2017,Withdrew,17/01/2018,IT Fundamentals,Entered Employment,Classroom,,,,,,,,
M-298,Female,1980,yes,Some College,St. Paul,no,Supervisor,14.68,11/12/2017,Withdrew,19/09/2018,IT Fundamentals,Institutionalized,Classroom,06/04/2019,Junior Developer,Osborn 370,30.03,,,,
M-299,Other,1982,unreported,Associates,Roseville,no,Cashier,15.41,19/10/2016,Withdrew,02/03/2017,QA,Institutionalized,Online,27/07/2017,Temp Developer,Loup Ventures,31.95,,,,
C-300,Male,1982,yes,Graduate and Beyond,Plymouth,no,Employee,15.99,24/05/2017,Removed,22/07/2017,IT Fundamentals,Entered Military,Online,,,,,,,,
P-301,Female,1999,yes,Graduate and Beyond,Plymouth,yes,Temp,9.42,15/05/2016,Withdrew,10/08/2016,QA,Institutionalized,Classroom,11/08/2017,Junior Developer,Bright Health,31.19,,,,
P-302,Unreported,1997,no,Some College,Minneapolis,no,Support,13.70,15/11/2015,Removed,18/05/2016,UX,Entered Military,Classroom,28/06/2016,Designer,Osborn 370,24.66,04/11/2016,Project Manager,Osborn 370,29.43
J-303,Other,2000,unreported,HS/GED,Roseville,yes,Support,14.58,03/12/2017,Withdrew,03/07/2018,IT Fundamentals,Incarcerated,Classroom,15/10/2018,Junior Developer,Google,30.90,,,,
M-304,Unreported,1984,no,Graduate and Beyond,St. Paul,no,Cashier,12.44,08/12/2017,Removed,06/03/2018,UX,Incarcerated,Classroom,28/04/2019,Junior Developer,Bite Squad,31.51,,,,
S-305,Male,1967,yes,Graduate and Beyond,Roseville,yes,Temp,11.92,27/08/2017,Removed,23/11/2017,UX,Institutionalized,Online,18/07/2018,Developer,Upsie,24.71,,,,
Y-306,Unreported,1969,unreported,Graduate and Beyond,Minneapolis,yes,,11.47,27/11/2016,Withdrew,09/06/2017,QA,Entered Employment,Online,16/04/2018,Web Developer,Loup Ventures,29.24,,,,
C-307,Male,1957,no,HS/GED,Eden Prairie,no,Associate,10.67,17/05/2017,Removed,04/11/2017,UX,Health/Medical,Classroom,09/03/2018,Junior Engineer,Code 42,27.18,,,,
M-308,Male,1960,yes,Bachelors,Brooklyn Center,no,,11.64,12/09/2016,Graduated,08/11/2016,UX,Institutionalized,Classroom,26/01/2017,Designer,Apple,24.41,28/09/2017,Developer,Bind Benefits,31.58
J-309,Female,1955,unreported,Associates,Edina,yes,,11.63,19/05/2015,Graduated,21/02/2016,UX,Entered Military,Classroom,21/01/2017,Web Developer,Loup Ventures,24.33,,,,
S-310,Other,1968,unreported,Some College,Brooklyn Center,yes,,15.88,07/06/2015,Removed,20/02/2016,QA,Entered Employment,Online,26/10/2016,Project Manager,Upsie,28.98,,,,
C-311,Other,1974,no,Bachelors,Edina,no,Cashier,11.52,20/08/2016,Withdrew,10/02/2017,UX,Entered Military,Online,23/02/2018,IT Support,Bind Benefits,31.94,,,,
C-312,Female,1980,yes,HS/GED,Roseville,no,Associate,12.09,08/12/2016,Removed,23/09/2017,QA,Health/Medical,Online,24/05/2018,Temp Designer,Bright Health,29.09,,,,
C-313,Male,1965,yes,HS/GED,Brooklyn Center,yes,Cashier,12.77,06/01/2016,Withdrew,09/10/2016,UX,Health/Medical,Online,25/08/2017,Temp Developer,Merrill Corporation,25.55,16/04/2018,Junior Developer,Aftercode,27.41
S-314,Female,1950,no,HS/GED,Roseville,yes,Employee,9.35,15/11/2015,Removed,15/01/2016,UX,Institutionalized,Online,25/05/2016,Junior Developer,Google,31.64,,,,
P-315,Unreported,1953,unreported,Some College,Edina,yes,Supervisor,13.15,18/02/2015,Graduated,22/07/2015,UX,Entered Military,Classroom,06/01/2016,IT Support,Branch Messenger,25.87,,,,
C-316,Male,1963,yes,Associates,Roseville,no,Employee,10.52,25/07/2017,Removed,10/12/2017,IT Fundamentals,Institutionalized,Online,08/02/2018,Junior Engineer,Google,31.71,,,,
S-317,Female,1953,yes,Graduate and Beyond,Robbinsdale,no,Manager,14.70,11/12/2015,Removed,02/08/2016,QA,Institutionalized,Classroom,06/07/2017,Programmer,Bite Squad,28.16,,,,
T-318,Unreported,1992,no,Graduate and Beyond,Plymouth,no,Manager,13.51,19/08/2016,Graduated,10/11/2016,QA,Enrolled in Additional Training,Online,26/07/2017,Programmer,Branch Messenger,26.33,,,,
Y-319,Female,1970,yes,Associates,Roseville,no,Temp,15.98,09/04/2015,Removed,04/06/2015,QA,Entered Military,Classroom,20/06/2016,Junior Designer,Bite Squad,25.24,,,,
M-320,Unreported,1986,unreported,HS/GED,Roseville,yes,Contractor,9.42,07/04/2017,Graduated,06/11/2017,QA,Institutionalized,Classroom,28/04/2018,Junior Developer,Bite Squad,29.18,18/04/2019,Programmer,Foodsby,28.22
C-321,Other,1960,yes,HS/GED,Eden Prairie,no,Temp,11.62,16/08/2016,Withdrew,20/04/2017,QA,Incarcerated,Classroom,01/11/2017,Designer,Nerdery,24.47,08/03/2018,Programmer,Branch Messenger,28.97
T-322,Unreported,1971,no,Bachelors,Brooklyn Center,yes,Supervisor,9.02,10/06/2016,Removed,12/08/2016,UX,Health/Medical,Online,12/09/2016,Temp Designer,Foodsby,24.02,27/01/2017,Temp Designer,Aftercode,24.56
Y-323,Male,1989,unreported,HS/GED,Eden Prairie,yes,Temp,12.23,07/05/2017,Withdrew,27/10/2017,UX,Entered Employment,Classroom,,,,,,,,
S-324,Other,1951,yes,HS/GED,Roseville,no,,11.48,16/01/2016,Removed,14/05/2016,UX,Enrolled in Additional Training,Online,16/08/2016,Project Manager,Branch Messenger,31.31,04/12/2016,Junior Engineer,Microsoft,29.36
T-325,Other,1978,yes,Some College,Minneapolis,no,Employee,11.61,12/04/2015,Withdrew,19/08/2015,IT Fundamentals,Health/Medical,Classroom,01/09/2015,Programmer,Loup Ventures,26.49,,,,
P-326,Unreported,1983,yes,Associates,Robbinsdale,yes,,14.33,13/01/2015,Withdrew,08/05/2015,UX,Institutionalized,Online,17/03/2016,Temp Designer,Code 42,27.56,,,,
T-327,Other,1959,unreported,Bachelors,Minneapolis,no,Temp,13.91,18/11/2015,Removed,14/02/2016,UX,Entered Military,Classroom,26/01/2017,Temp Designer,Foodsby,29.94,,,,
P-328,Female,1952,yes,Some College,Brooklyn Center,no,,11.50,25/05/2015,Withdrew,23/01/2016,IT Fundamentals,Incarcerated,Classroom,03/03/2016,IT Support,Branch Messenger,27.33,,,,
C-329,Male,1972,yes,Associates,Brooklyn Center,no,Manager,10.10,25/04/2016,Graduated,02/10/2016,UX,Health/Medical,Online,26/06/2017,IT Support,Loup Ventures,29.74,,,,
T-330,Male,1974,unreported,HS/GED,Eden Prairie,yes,,13.28,15/08/2017,Removed,28/05/2018,UX,Enrolled in Additional Training,Classroom,15/03/2019,Junior Engineer,Google,29.27,25/05/2019,IT Support,Code 42,26.98
C-331,Male,2000,yes,Some College,Brooklyn Center,no,Representative,10.90,22/10/2017,Removed,05/04/2018,QA,Entered Military,Classroom,01/09/2018,Temp Developer,Google,30.84,,,,
P-332,Male,1980,yes,HS/GED,Edina,yes,Cashier,14.88,19/02/2016,Withdrew,04/09/2016,UX,Entered Military,Online,15/01/2017,Temp Designer,Bind Benefits,29.10,18/07/2017,Designer,Code 42,28.63
Y-333,Female,1977,no,HS/GED,Edina,yes,Supervisor,13.12,23/02/2016,Graduated,15/10/2016,IT Fundamentals,Entered Employment,Classroom,12/02/2017,Project Manager,Microsoft,31.72,,,,
P-334,Unreported,1954,yes,HS/GED,Roseville,yes,Cashier,15.00,04/05/2016,Graduated,19/08/2016,QA,Entered Military,Online,01/05/2017,Web Developer,Apple,26.02,,,,
J-335,Other,1972,no,Some College,Plymouth,no,Support,14.36,30/04/2015,Removed,19/06/2015,IT Fundamentals,Enrolled in Additional Training,Online,20/02/2016,Project Manager,Google,27.13,,,,
T-336,Other,1982,yes,Graduate and Beyond,Minneapolis,no,Representative,14.96,20/02/2017,Withdrew,07/07/2017,UX,Entered Employment,Online,08/12/2017,Developer,Code 42,26.19,,,,
M-337,Male,1995,unreported,Bachelors,Roseville,no,Supervisor,10.98,11/06/2016,Withdrew,08/10/2016,IT Fundamentals,Incarcerated,Classroom,03/12/2016,Junior Developer,Bite Squad,31.61,,,,
P-338,Female,1977,unreported,Some College,Roseville,yes,Manager,10.75,03/08/2017,Graduated,16/03/2018,UX,Enrolled in Additional Training,Classroom,16/02/2019,Junior Engineer,Bind Benefits,26.18,,,,
Y-339,Male,1961,yes,Graduate and Beyond,Roseville,yes,Team Member,14.62,22/12/2017,Withdrew,10/06/2018,QA,Enrolled in Additional Training,Classroom,11/01/2019,Developer,Microsoft,24.86,28/05/2019,Junior Developer,Nerdery,24.47
P-340,Male,1987,unreported,HS/GED,Plymouth,yes,Team Member,13.92,30/09/2017,Withdrew,07/05/2018,UX,Entered Employment,Online,16/07/2018,Project Manager,Bite Squad,26.59,,,,
C-341,Unreported,1971,unreported,Bachelors,Brooklyn Center,yes,Temp,10.59,13/07/2016,Removed,06/01/2017,IT Fundamentals,Health/Medical,Classroom,21/09/2017,Developer,Branch Messenger,25.00,,,,
C-342,Male,1966,no,Graduate and Beyond,Eden Prairie,no,Support,12.06,07/06/2017,Graduated,08/12/2017,UX,Health/Medical,Classroom,20/10/2018,Temp Designer,Osborn 370,30.02,23/11/2018,Designer,Google,27.44
C-343,Female,1963,unreported,Bachelors,Edina,yes,Cashier,14.56,06/03/2017,Withdrew,03/08/2017,UX,Entered Employment,Classroom,15/04/2018,Junior Developer,Microsoft,29.67,,,,
Y-344,Unreported,1970,yes,Graduate and Beyond,Robbinsdale,no,Supervisor,15.58,09/09/2017,Graduated,05/12/2017,UX,Enrolled in Additional Training,Online,14/11/2018,Project Manager,Great North Labs,26.73,,,,
C-345,Female,1999,yes,Associates,Plymouth,no,Cashier,12.48,17/02/2015,Removed,11/05/2015,UX,Entered Military,Classroom,14/03/2016,Junior Designer,Upsie,26.11,,,,
J-346,Female,1986,no,HS/GED,Robbinsdale,yes,Manager,15.68,21/01/2017,Withdrew,16/04/2017,QA,Incarcerated,Classroom,19/09/2017,Programmer,Bright Health,25.11,,,,
S-347,Unreported,1999,no,HS/GED,Robbinsdale,yes,Support,15.05,25/09/2016,Graduated,23/01/2017,IT Fundamentals,Entered Military,Classroom,26/01/2018,Web Developer,Branch Messenger,26.55,,,,
C-348,Female,1963,unreported,Graduate and Beyond,St. Paul,no,Team Member,9.03,31/05/2016,Removed,25/09/2016,QA,Entered Employment,Online,25/11/2016,Programmer,Upsie,30.54,13/01/2017,Junior Developer,Code 42,27.41
Y-349,Female,1980,unreported,Bachelors,Plymouth,yes,Cashier,11.82,18/01/2017,Graduated,27/07/2017,IT Fundamentals,Entered Employment,Online,26/01/2018,Junior Designer,Aftercode,26.93,,,,
T-350,Unreported,1959,no,Bachelors,Eden Prairie,no,Associate,11.27,29/04/2017,Removed,08/07/2017,IT Fundamentals,Institutionalized,Classroom,,,,,,,,
J-351,Female,1970,yes,Bachelors,Brooklyn Center,yes,Employee,10.09,24/09/2015,Removed,09/06/2016,QA,Health/Medical,Classroom,10/01/2017,Web Developer,Apple,27.54,,,,
T-352,Other,1989,yes,Bachelors,Minneapolis,no,Associate,9.22,23/09/2017,Withdrew,24/12/2017,UX,Health/Medical,Classroom,13/08/2018,Programmer,Foodsby,30.54,,,,
T-353,Female,1958,yes,Graduate and Beyond,Minneapolis,no,Employee,13.23,30/07/2017,Graduated,07/03/2018,UX,Health/Medical,Classroom,19/09/2018,Programmer,Branch Messenger,29.06,,,,
S-354,Other,1987,unreported,HS/GED,St. Paul,yes,Temp,15.76,30/07/2015,Removed,21/12/2015,UX,Entered Employment,Online,18/05/2016,Temp Designer,Nerdery,29.14,07/01/2017,Junior Designer,Microsoft,30.07
T-355,Unreported,1969,unreported,HS/GED,Plymouth,yes,Manager,11.17,19/03/2017,Graduated,07/11/2017,QA,Incarcerated,Online,03/12/2017,Designer,Bind Benefits,26.86,12/03/2018,Junior Developer,Nerdery,25.27
Y-356,Male,1972,no,HS/GED,St. Paul,yes,Temp,11.32,03/11/2017,Graduated,10/04/2018,IT Fundamentals,Entered Military,Online,23/01/2019,IT Support,Apple,29.67,11/08/2019,Junior Designer,Bright Health,29.17
Y-357,Unreported,1956,unreported,Associates,Roseville,yes,Supervisor,14.72,12/02/2015,Withdrew,17/11/2015,UX,Health/Medical,Classroom,09/02/2016,Junior Developer,Bind Benefits,31.76,,,,
Y-358,Male,1981,no,Bachelors,Roseville,yes,Manager,14.76,09/11/2016,Graduated,01/05/2017,IT Fundamentals,Health/Medical,Classroom,16/07/2017,Junior Engineer,Bind Benefits,27.94,,,,
C-359,Male,1954,unreported,HS/GED,Roseville,yes,,12.51,28/03/2015,Removed,02/06/2015,IT Fundamentals,Entered Military,Classroom,06/03/2016,Web Developer,Great North Labs,30.16,,,,
J-360,Male,1955,no,Bachelors,Eden Prairie,no,Team Member,10.68,29/05/2015,Removed,28/11/2015,QA,Entered Employment,Online,20/12/2015,Web Developer,Bright Health,27.99,,,,
S-361,Unreported,1968,yes,HS/GED,Minneapolis,yes,,9.63,04/10/2016,Graduated,03/12/2016,QA,Institutionalized,Classroom,16/08/2017,Junior Designer,Osborn 370,28.77,,,,
S-362,Unreported,1993,unreported,Some College,St. Paul,no,Support,13.86,23/09/2015,Graduated,14/12/2015,IT Fundamentals,Health/Medical,Classroom,17/05/2016,Junior Engineer,Bite Squad,30.82,08/11/2016,Programmer,Merrill Corporation,31.94
Y-363,Unreported,1976,yes,Associates,St. Paul,yes,Cashier,13.12,02/02/2016,Graduated,13/09/2016,QA,Incarcerated,Classroom,17/10/2016,Temp Developer,Nerdery,24.50,21/12/2016,Temp Designer,Loup Ventures,30.08
P-364,Male,1954,yes,Associates,Minneapolis,no,Representative,14.82,22/10/2016,Withdrew,19/06/2017,IT Fundamentals,Incarcerated,Online,15/07/2017,IT Support,Code 42,25.27,,,,
S-365,Female,1950,unreported,HS/GED,Roseville,no,Contractor,15.39,12/02/2017,Graduated,13/11/2017,IT Fundamentals,Enrolled in Additional Training,Classroom,,,,,,,,
J-366,Other,1973,yes,Bachelors,Brooklyn Center,no,Temp,14.79,04/01/2017,Withdrew,13/03/2017,QA,Incarcerated,Online,25/07/2017,Project Manager,Great North Labs,28.91,,,,
T-367,Female,1956,no,HS/GED,Roseville,no,Associate,14.92,12/04/2017,Graduated,21/01/2018,IT Fundamentals,Incarcerated,Online,,,,,,,,
P-368,Other,1982,unreported,HS/GED,Roseville,no,Temp,13.97,07/04/2015,Graduated,23/11/2015,QA,Entered Military,Classroom,23/12/2015,Developer,Bright Health,29.57,,,,
C-369,Other,1957,no,Associates,Brooklyn Center,yes,Support,11.46,16/12/2017,In Training,,IT Fundamentals,,Classroom,,,,,,,,
Y-370,Other,1985,unreported,Some College,Robbinsdale,no,Associate,15.08,21/06/2016,Removed,03/08/2016,UX,Entered Military,Online,22/02/2017,Junior Developer,Upsie,25.25,,,,
Y-371,Other,1977,yes,HS/GED,Brooklyn Center,yes,Support,11.64,21/05/2016,Removed,28/08/2016,UX,Health/Medical,Online,15/10/2016,Web Developer,Osborn 370,27.19,11/04/2017,Temp Designer,Branch Messenger,24.19
P-372,Female,1958,yes,HS/GED,Edina,yes,Cashier,12.65,07/07/2015,Graduated,22/10/2015,IT Fundamentals,Enrolled in Additional Training,Online,09/12/2015,Developer,Code 42,29.76,,,,
P-373,Female,1967,yes,Some College,Robbinsdale,no,Representative,14.92,27/07/2015,Withdrew,14/02/2016,IT Fundamentals,Entered Employment,Classroom,18/06/2016,Designer,Bite Squad,25.51,,,,
P-374,Other,1987,no,Some College,Minneapolis,no,Team Member,11.94,13/12/2015,Removed,02/04/2016,QA,Enrolled in Additional Training,Online,05/04/2017,Junior Engineer,Apple,26.00,06/03/2018,Temp Designer,Bright Health,26.75
M-375,Female,1967,yes,Some College,Eden Prairie,yes,Support,14.27,17/08/2017,Removed,12/04/2018,QA,Entered Employment,Online,06/12/2018,Programmer,Foodsby,31.47,02/11/2019,Developer,Loup Ventures,28.08
T-376,Male,1964,no,Bachelors,Robbinsdale,no,Support,12.45,16/06/2016,Graduated,02/09/2016,IT Fundamentals,Entered Employment,Classroom,26/08/2017,Programmer,Aftercode,29.93,01/08/2018,IT Support,Bright Health,31.54
C-377,Female,1966,yes,HS/GED,Robbinsdale,no,,10.36,26/02/2015,Graduated,25/04/2015,UX,Enrolled in Additional Training,Online,19/01/2016,Web Developer,Great North Labs,28.62,,,,
C-378,Male,1996,no,Associates,Robbinsdale,no,Temp,11.60,20/10/2017,Removed,28/02/2018,UX,Entered Employment,Online,13/09/2018,Designer,Loup Ventures,31.41,09/07/2019,IT Support,Microsoft,31.79
M-379,Other,1984,unreported,Bachelors,Edina,no,Team Member,12.18,25/06/2017,Graduated,21/12/2017,QA,Institutionalized,Online,11/11/2018,Junior Engineer,Microsoft,26.63,,,,
T-380,Male,1983,yes,Graduate and Beyond,Eden Prairie,no,Contractor,15.59,10/04/2017,Graduated,23/09/2017,QA,Health/Medical,Classroom,08/03/2018,Designer,Nerdery,27.85,,,,
J-381,Male,1967,no,Associates,St. Paul,no,Employee,11.57,21/07/2015,Graduated,03/04/2016,QA,Entered Military,Classroom,01/03/2017,Project Manager,Microsoft,30.20,05/10/2017,Project Manager,Foodsby,31.18
